,persona,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
312,i love to play board games. my parents were also teachers. my favorite band is up and i got to see them in concert once. for vacation i enjoy time at the beach.,probably high,no clues,no clues,no clues,probably high
145,i own a house in florida. i work in it and have been at the same company for 15 years. i enjoy american sports. i have a children and a dogs.,no clues,probably high,no clues,probably low,no clues
407,i have been retired for a years. i go gambling in my spare time. i move south during the winter. i like to grill outdoors.,no clues,probably low,probably low,no clues,no clues
265,i enjoy coloring books. i live is a rural farming community. i have a german shepherd dog. my husband is adopted.,probably high,no clues,no clues,probably high,no clues
224,i enjoy american sports. i own a house in florida. i am a male. i have a children and a dogs.,no clues,probably high,no clues,no clues,no clues
259,i am an avid kayaker. i am also a graduate student. i enjoy reading journals and guides related to psychology. my parents taught me survival skills. i walk dogs for a living.,probably high,probably high,no clues,no clues,probably low
17,i am a recording engineer and own my own studio. my ex cheated and left me for a lawyer. whats up i am a 46 year old single dad 46 a kids. i live in california but the recording artist market was dead last year. i prefer being inside.,probably high,no clues,probably low,no clues,no clues
175,i enjoy gardening and walking outdoors. i have a dogs. i work as a school teacher. i am a woman.,probably high,probably high,probably high,probably high,probably high
212,i grow roses in my garden. i have a big library at home. i am a museum tour guide. i love to drink fancy tea.,probably high,no clues,no clues,probably high,no clues
180,i am a cancer survivor. my parents were both very athletic. i love running and preparing for marathons. i got a new job just yesterday to be a life coach.,probably high,probably high,no clues,probably high,probably low
170,i enjoy sports such as running. i am a vegetarian. my favorite color is blue. i am married. i am a woman.,no clues,probably high,no clues,probably high,no clues
241,my bedroom is purple and lime green. i like riding horses. i will graduate from high school in two years. i am a vegan.,probably high,no clues,no clues,probably high,no clues
324,i speak chinese. my father is an electrician. i play ping pong. i love chocolate bars.,probably low,no clues,probably low,no clues,no clues
48,i am a party animal. my favorite movie is mean girls. i am deathly afraid of heights. i own a cat and a dog.,no clues,no clues,probably high,no clues,no clues
82,i feel like i might live forever. i am 100 years old. i love to drink wine and dance in the moonlight. i remember when nobody had a television. i am very strong for my age.,probably high,no clues,probably high,no clues,probably low
18,i am terrified of scorpions. i am employed by the us postal service. i have a german shepherd named barnaby. my father drove a car for nascar.,no clues,probably high,no clues,no clues,probably high
125,i have been working since i was sixteen years old. in my free time i like to watch nascar racing and ufc. my favorite band is aerosmith. my favorite food is mexican food.,no clues,probably high,no clues,no clues,no clues
60,when i grow up i want to be a dog. i like to look at blocks and sing about letters. i like to eat chocolate candy. i like to talk but people have a hard time understanding.,probably low,no clues,probably low,probably low,no clues
1,i have two dogs. i like to work on vintage cars. my favorite music is country. i own two vintage mustangs.,probably low,probably high,no clues,no clues,no clues
310,my favorite type of music to sing is folk music. i am a musician and hope to make it big some day. i play the piano and guitar and sing. my parents are not very supportive of my dream.,probably high,no clues,probably high,no clues,no clues
304,my dream car is a rolls royce ghost. i like shopping. my family does not support my career choices. i currently work for a watch dealer.,probably low,no clues,no clues,probably low,no clues
